OPC-N2 FirmwareVer=OPC-018.2..............................BD
OPC-N2 176880013                                            
Config info:
GSC,1.000
LaserDAC,183
FanDAC,255
ToFtoSFRfactor,74
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Boundary(upper),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
ParticleVolume(um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
ParticleDensity(g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
SampleVolumeWeighting,4.500,3.000,2.000,0.500,0.300,0.250,0.250,0.250,0.350,0.450,0.500,0.800,1.000,1.000,1.000,1.000
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SFR(ml/s),SamplingPeriod(s),PM1(ug/m3),PM2.5,PM10
12,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,23,0,0,0,3.217,1.398,1.450,2.116,2.508
7,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,17,0,29,0,3.524,1.381,0.830,1.478,1.882
6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19,23,0,0,3.610,1.387,0.757,0.986,0.993
7,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,18,0,0,39,3.763,1.388,0.870,1.352,2.625
8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,0,0,0,3.781,1.387,0.679,1.012,1.332
9,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3.795,1.388,1.312,1.749,1.756
5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3.776,1.388,1.160,1.612,1.619
6,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.776,1.388,0.574,1.279,1.922
9,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,3.731,1.381,0.901,1.073,1.087
6,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,17,29,25,0,3.773,1.388,1.029,1.619,1.682
7,5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,3.861,1.387,1.269,1.805,1.848
12,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,21,30,0,0,3.842,1.388,1.447,1.956,1.970
