 

stn;time;tso005s0;gre000z0;tre200s0;tre005s0;rre150z0;ure000s0
AGMDAR;201806110000;21.3;0;20.6;18.7;0.0;66.2
AGMDAR;201806110010;21.3;0;20.7;18.8;0.0;65.2
AGMDAR;201806110020;21.3;0;21.1;18.6;0.0;64.1
AGMDAR;201806110030;21.2;0;21.0;18.7;0.0;65.2
AGMDAR;201806110040;21.2;0;20.5;18.8;0.0;68.4
AGMDAR;201806110050;21.2;0;20.2;18.9;0.0;70.0
AGMDAR;201806110100;21.2;0;20.4;18.8;0.0;67.9
AGMDAR;201806110110;21.1;0;20.0;18.7;0.0;69.7
AGMDAR;201806110120;21.1;0;19.5;18.6;0.0;73.1
AGMDAR;201806110130;21.1;0;19.2;18.4;0.0;75.7
AGMDAR;201806110140;21.0;0;19.2;18.2;0.0;74.7
AGMDAR;201806110150;21.0;0;19.0;18.1;0.0;76.3
AGMDAR;201806110200;21.0;0;18.9;18.1;0.0;76.8
AGMDAR;201806110210;21.0;0;18.9;18.2;0.0;77.3
AGMDAR;201806110220;20.9;0;18.7;18.1;0.0;78.4
AGMDAR;201806110230;20.9;0;18.4;17.9;0.0;78.8
AGMDAR;201806110240;20.9;0;18.8;17.8;0.0;76.1
AGMDAR;201806110250;20.9;0;18.2;17.7;0.0;80.3
AGMDAR;201806110300;20.8;0;18.0;17.7;0.0;82.3
AGMDAR;201806110310;20.8;0;18.3;17.6;0.0;79.4
AGMDAR;201806110320;20.8;0;18.3;17.6;0.0;79.4
AGMDAR;201806110330;20.8;0;18.2;17.6;0.0;80.5
AGMDAR;201806110340;20.7;1;18.6;17.7;0.0;78.3
AGMDAR;201806110350;20.7;4;18.3;17.6;0.0;79.4
AGMDAR;201806110400;20.7;8;18.4;17.5;0.0;78.5
AGMDAR;201806110410;20.7;11;18.0;17.6;0.0;81.3
AGMDAR;201806110420;20.6;17;17.5;17.6;0.0;84.5
AGMDAR;201806110430;20.6;30;17.4;17.9;0.0;85.4
AGMDAR;201806110440;20.6;47;17.4;18.0;0.0;85.6
AGMDAR;201806110450;20.6;63;17.3;18.2;0.0;86.9
AGMDAR;201806110500;20.5;79;17.5;18.3;0.0;87.2
AGMDAR;201806110510;20.5;83;17.8;18.6;0.0;84.5
AGMDAR;201806110520;20.5;86;18.0;18.8;0.0;84.3
AGMDAR;201806110530;20.5;90;18.1;19.1;0.0;85.9
AGMDAR;201806110540;20.5;95;18.3;19.3;0.0;84.2
AGMDAR;201806110550;20.4;110;18.5;19.5;0.0;83.9
AGMDAR;201806110600;20.4;117;19.0;19.7;0.0;80.2
AGMDAR;201806110610;20.4;136;19.2;19.9;0.0;79.6
AGMDAR;201806110620;20.4;124;19.4;20.0;0.0;79.1
AGMDAR;201806110630;-;-;-;-;-;-
AGMDAR;201806110640;20.4;101;19.3;19.7;0.0;78.4
AGMDAR;201806110650;20.4;87;19.1;19.3;0.0;80.1
AGMDAR;201806110700;20.4;100;18.8;19.2;0.0;83.3
AGMDAR;201806110710;20.3;140;18.7;19.4;0.0;84.5
AGMDAR;201806110720;20.3;126;18.5;19.5;0.0;86.5
AGMDAR;201806110730;20.3;118;18.4;19.0;0.0;85.4
AGMDAR;201806110740;20.3;110;18.4;18.6;0.0;83.4
AGMDAR;201806110750;20.3;109;18.5;18.6;0.0;81.1
AGMDAR;201806110800;20.3;88;18.4;18.3;0.0;80.6
AGMDAR;201806110810;20.3;79;17.9;18.2;0.0;84.3
AGMDAR;201806110820;20.3;79;17.6;18.1;0.0;87.1
AGMDAR;201806110830;20.3;78;17.3;17.9;0.0;89.4
AGMDAR;201806110840;20.3;63;17.0;17.8;0.0;90.8
AGMDAR;201806110850;20.3;65;16.8;17.7;0.0;91.6
AGMDAR;201806110900;20.3;90;16.6;17.7;0.0;92.2
AGMDAR;201806110910;20.3;86;16.5;17.8;0.0;91.9
AGMDAR;201806110920;20.2;85;16.5;17.7;0.0;90.7
AGMDAR;201806110930;20.2;93;16.5;17.7;0.0;91.7
AGMDAR;201806110940;20.2;87;16.4;17.9;0.0;92.3
AGMDAR;201806110950;20.2;64;16.3;17.6;0.0;91.9
AGMDAR;201806111000;20.2;106;16.3;17.5;0.0;93.5
AGMDAR;201806111010;20.2;201;16.3;17.7;0.0;94.3
AGMDAR;201806111020;20.2;180;16.6;18.3;0.0;94.5
AGMDAR;201806111030;20.1;222;16.8;18.8;0.0;94.1
AGMDAR;201806111040;20.1;265;17.2;19.4;0.0;92.6
AGMDAR;201806111050;20.1;850;17.5;20.5;0.0;91.9
AGMDAR;201806111100;20.0;956;18.4;23.0;0.0;88.6
AGMDAR;201806111110;20.0;828;18.3;22.3;0.0;87.7
AGMDAR;201806111120;20.0;879;18.9;23.3;0.0;86.7
AGMDAR;201806111130;20.0;762;19.0;22.9;0.0;86.4
AGMDAR;201806111140;19.9;903;19.6;23.8;0.0;83.9
AGMDAR;201806111150;19.9;1003;19.8;23.5;0.0;82.2
AGMDAR;201806111200;19.9;980;20.4;24.5;0.0;79.7
AGMDAR;201806111210;19.9;769;20.4;24.0;0.0;78.1
AGMDAR;201806111220;19.9;823;20.7;24.4;0.0;77.4
AGMDAR;201806111230;19.9;1105;21.0;25.2;0.0;75.9
AGMDAR;201806111240;19.9;970;21.7;26.2;0.0;74.7
AGMDAR;201806111250;19.9;960;21.7;25.0;0.0;71.9
AGMDAR;201806111300;19.9;944;21.9;24.7;0.0;69.0
AGMDAR;201806111310;20.0;934;22.4;25.0;0.0;70.7
AGMDAR;201806111320;20.0;886;22.2;23.9;0.0;68.1
AGMDAR;201806111330;20.1;586;21.6;22.9;0.0;67.5
AGMDAR;201806111340;20.1;917;22.3;23.7;0.0;66.6
AGMDAR;201806111350;20.2;928;22.4;23.2;0.0;68.0
AGMDAR;201806111400;20.2;786;22.8;23.8;0.0;68.1
AGMDAR;201806111410;20.3;286;21.8;21.1;0.0;69.8
AGMDAR;201806111420;20.3;527;22.1;21.4;0.0;65.8
AGMDAR;201806111430;20.4;348;22.6;22.1;0.0;65.8
AGMDAR;201806111440;20.4;143;22.0;20.9;0.0;68.1
AGMDAR;201806111450;20.5;149;21.6;20.2;0.0;68.9
AGMDAR;201806111500;20.5;190;21.5;20.3;0.0;69.4
AGMDAR;201806111510;20.6;173;21.4;20.2;0.0;65.8
AGMDAR;201806111520;20.6;146;21.3;20.0;0.0;65.9
AGMDAR;201806111530;20.6;139;21.2;20.1;0.0;66.5
AGMDAR;201806111540;20.6;241;21.4;20.1;0.0;66.8
AGMDAR;201806111550;20.6;275;21.6;20.1;0.0;67.8
AGMDAR;201806111600;20.7;248;21.4;20.1;0.0;68.8
AGMDAR;201806111610;20.7;243;21.4;20.2;0.0;68.7
AGMDAR;201806111620;20.7;402;22.1;20.8;0.0;67.4
AGMDAR;201806111630;20.7;251;21.8;20.9;0.0;68.1
AGMDAR;201806111640;20.7;266;21.8;20.6;0.0;67.5
AGMDAR;201806111650;20.7;207;22.0;20.8;0.0;68.4
AGMDAR;201806111700;20.7;322;22.1;21.1;0.0;64.7
AGMDAR;201806111710;20.7;114;22.1;21.0;0.0;64.1
AGMDAR;201806111720;20.7;251;22.1;21.1;0.0;67.9
AGMDAR;201806111730;20.7;180;22.6;21.5;0.0;66.9
AGMDAR;201806111740;20.7;131;22.0;21.5;0.0;69.7
AGMDAR;201806111750;20.7;88;21.6;21.2;0.0;71.2
AGMDAR;201806111800;20.7;42;21.3;20.7;0.0;73.4
AGMDAR;201806111810;20.8;39;21.1;20.3;0.0;69.6
AGMDAR;201806111820;20.8;27;21.0;20.2;0.0;71.8
AGMDAR;201806111830;20.8;29;20.7;20.1;0.0;76.7
AGMDAR;201806111840;20.8;23;20.8;19.8;0.0;68.3
AGMDAR;201806111850;20.8;25;20.8;19.5;0.0;66.9
AGMDAR;201806111900;20.8;25;20.9;19.4;0.0;64.9
AGMDAR;201806111910;20.8;9;20.8;19.2;0.0;65.6
AGMDAR;201806111920;20.8;1;20.4;19.3;0.0;68.0
AGMDAR;201806111930;-;-;-;-;-;-
AGMDAR;201806111940;20.8;0;18.0;17.2;0.0;81.7
AGMDAR;201806111950;20.8;0;18.0;17.4;0.0;79.6
AGMDAR;201806112000;20.8;0;17.9;17.5;0.0;83.8
AGMDAR;201806112010;20.8;0;17.3;17.2;0.0;85.7
AGMDAR;201806112020;20.8;0;17.5;16.9;0.0;78.4
AGMDAR;201806112030;20.8;0;16.8;16.6;0.0;86.3
AGMDAR;201806112040;20.7;0;16.9;17.0;0.0;85.2
AGMDAR;201806112050;20.7;0;16.7;17.0;0.0;86.1
AGMDAR;201806112100;20.7;0;17.3;16.7;0.0;78.7
AGMDAR;201806112110;20.6;0;16.8;16.7;0.0;83.4
AGMDAR;201806112120;20.6;0;17.0;16.7;0.0;81.8
AGMDAR;201806112130;20.6;0;16.6;16.8;0.0;85.6
AGMDAR;201806112140;20.5;0;16.5;16.9;0.0;87.1
AGMDAR;201806112150;20.5;0;16.2;17.0;0.0;89.2
AGMDAR;201806112200;20.5;0;16.1;16.8;0.0;90.5
AGMDAR;201806112210;20.4;0;16.1;16.5;0.0;91.2
AGMDAR;201806112220;20.4;0;16.0;16.8;0.0;91.7
AGMDAR;201806112230;20.4;0;15.9;16.9;0.0;92.7
AGMDAR;201806112240;20.3;0;15.8;16.9;0.0;93.1
AGMDAR;201806112250;20.3;0;15.7;16.9;0.0;94.1
AGMDAR;201806112300;20.3;0;15.8;16.9;0.0;95.2
AGMDAR;201806112310;20.2;0;15.8;17.1;0.0;95.1
AGMDAR;201806112320;20.2;0;15.8;17.0;0.0;94.4
AGMDAR;201806112330;20.1;0;15.9;17.0;0.0;93.4
AGMDAR;201806112340;20.1;0;15.8;17.0;0.0;93.7
AGMDAR;201806112350;20.1;0;15.7;17.0;0.0;94.1
AGMDAR;201806120000;20.0;0;15.9;16.9;0.0;93.5
AGMDAR;201806120010;20.0;0;16.0;16.9;0.0;92.7
AGMDAR;201806120020;20.0;0;15.7;17.0;0.0;93.4
AGMDAR;201806120030;19.9;0;15.5;16.9;0.0;93.8
AGMDAR;201806120040;19.9;0;15.5;16.7;0.0;92.8
AGMDAR;201806120050;19.9;0;15.3;16.4;0.0;93.1
AGMDAR;201806120100;19.8;0;15.1;16.1;0.0;94.3
AGMDAR;201806120110;19.8;0;15.1;16.1;0.0;95.1
AGMDAR;201806120120;19.8;0;15.1;16.2;0.0;95.2
AGMDAR;201806120130;19.7;0;15.4;16.3;0.0;95.7
AGMDAR;201806120140;19.7;0;15.3;16.3;0.0;96.0
AGMDAR;201806120150;19.6;0;15.3;16.3;0.0;96.2
AGMDAR;201806120200;19.6;0;15.3;16.3;0.0;96.6
AGMDAR;201806120210;19.5;0;15.2;16.2;0.0;96.9
AGMDAR;201806120220;19.5;0;15.2;16.2;0.0;97.1
AGMDAR;201806120230;19.5;0;15.2;16.1;0.0;97.0
AGMDAR;201806120240;19.4;0;15.2;16.2;0.0;96.6
AGMDAR;201806120250;19.4;0;15.2;16.2;0.0;96.5
AGMDAR;201806120300;19.4;0;15.3;16.2;0.0;96.3
AGMDAR;201806120310;19.3;0;15.4;16.2;0.0;95.9
AGMDAR;201806120320;19.3;0;15.4;16.3;0.0;95.7
AGMDAR;201806120330;19.2;0;15.2;16.2;0.0;95.8
AGMDAR;201806120340;19.2;1;15.2;16.2;0.0;96.5
AGMDAR;201806120350;19.2;3;15.2;16.1;0.0;96.8
AGMDAR;201806120400;19.1;5;15.2;16.1;0.0;96.9
AGMDAR;201806120410;19.1;10;15.1;16.1;0.0;96.9
AGMDAR;201806120420;19.1;19;15.1;16.1;0.0;97.0
AGMDAR;201806120430;19.0;26;15.2;16.2;0.0;97.0
AGMDAR;201806120440;19.0;25;15.2;16.1;0.0;97.1
AGMDAR;201806120450;19.0;32;15.2;16.0;0.0;97.3
AGMDAR;201806120500;18.9;49;15.1;16.2;0.0;97.4
AGMDAR;201806120510;18.9;37;15.1;16.3;0.0;97.4
AGMDAR;201806120520;18.9;45;15.1;16.1;0.0;97.4
AGMDAR;201806120530;18.8;53;15.2;15.7;0.0;97.5
