Station,Timestamp,Year,Month,Day,Hour,Min,Sec,0.46um,0.66um,0.89um,1.15um,1.45um,1.85um,2.55um,3.5um,4.5um,5.75um,7.25um,9um,11um,13um,15um,16.5um,DurationSample_s,FlowRate_ml/s,HumiditeDHT22,TempDHT22_AirEntreeOPC,TempAir_sol,TempSolProf10cm,TempBoitier,SoilMoisture,Lux,LeafMoisture
0,1535465790,2018,8,28,14,16,30,341,35,7,3,1,3,1,0,1,0,0,0,0,0,0,0,15.59,3.52,47.60,24.90,25.00,-127.00,-127.00,598,88.85,450
0,1535465804,2018,8,28,14,16,44,374,25,10,2,2,4,1,3,0,1,0,1,1,1,0,0,13.94,3.52,47.50,24.90,25.00,-127.00,-127.00,436,88.85,364
0,1535465820,2018,8,28,14,17,0,434,34,13,0,2,3,0,2,0,0,0,0,1,1,0,0,15.45,3.59,47.60,24.90,25.00,-127.00,-127.00,429,88.85,358
0,1535465834,2018,8,28,14,17,14,392,41,12,6,2,1,2,2,0,1,0,0,0,0,0,0,13.94,3.63,47.50,24.90,25.00,-127.00,-127.00,421,85.73,353
0,1535465848,2018,8,28,14,17,28,387,34,8,2,1,2,1,3,1,1,1,0,0,0,0,0,13.94,3.66,47.50,24.90,25.00,-127.00,-127.00,420,85.73,356
0,1535465862,2018,8,28,14,17,42,404,40,10,0,2,1,2,2,0,0,1,0,0,0,0,0,13.94,3.67,47.50,24.90,25.00,-127.00,-127.00,416,85.73,355
0,1535465876,2018,8,28,14,17,56,405,40,9,2,0,3,0,0,3,0,0,0,0,0,0,0,13.94,3.76,47.50,24.90,25.00,-127.00,-127.00,414,83.69,348
0,1535465889,2018,8,28,14,18,9,417,35,17,3,0,1,2,1,1,0,0,2,0,0,1,0,13.94,3.74,47.50,24.90,25.00,-127.00,-127.00,411,87.93,351
0,1535465903,2018,8,28,14,18,23,406,39,10,3,1,4,1,2,0,0,0,0,1,0,0,0,13.94,3.80,47.40,24.90,25.00,-127.00,-127.00,409,86.82,345
0,1535465917,2018,8,28,14,18,37,398,43,6,2,2,0,1,1,1,0,0,0,0,0,0,0,13.94,3.76,47.40,24.90,25.00,-127.00,-127.00,410,86.82,346
0,1535465931,2018,8,28,14,18,51,408,37,13,4,0,1,3,0,0,0,1,1,0,0,0,0,13.94,3.81,47.50,24.90,25.00,-127.00,-127.00,410,86.82,348
0,1535465945,2018,8,28,14,19,5,419,38,20,6,3,1,3,2,0,1,0,0,0,0,0,0,13.94,3.84,47.40,24.90,25.00,-127.00,-127.00,404,86.82,346
0,1535465959,2018,8,28,14,19,19,425,43,12,1,1,3,2,3,2,0,0,1,0,0,0,0,13.94,3.86,47.40,24.90,25.00,-127.00,-127.00,403,86.82,342
0,1535465973,2018,8,28,14,19,33,454,35,11,6,3,4,3,2,1,0,0,0,0,0,0,0,13.94,3.87,47.50,25.00,25.00,-127.00,-127.00,405,83.69,342
0,1535465987,2018,8,28,14,19,47,438,44,17,6,2,3,1,2,1,0,0,0,0,0,0,0,13.94,3.88,47.50,24.90,25.00,-127.00,-127.00,404,83.69,345
0,1535466001,2018,8,28,14,20,1,475,54,5,6,2,1,3,0,0,2,0,0,0,0,0,0,13.94,3.89,47.50,25.00,25.00,-127.00,-127.00,400,86.82,344
0,1535466015,2018,8,28,14,20,15,435,28,13,1,1,0,3,2,0,0,2,0,0,0,0,0,13.94,3.89,47.50,25.00,25.00,-127.00,-127.00,400,83.69,339
0,1535466029,2018,8,28,14,20,29,451,54,9,6,1,2,2,4,1,1,0,0,0,0,0,0,13.94,3.89,47.40,25.00,25.00,-127.00,-127.00,403,180.52,342
0,1535466043,2018,8,28,14,20,43,446,44,14,6,2,1,3,1,2,1,2,1,0,0,0,0,13.94,3.89,47.40,25.00,25.00,-127.00,-127.00,408,197.37,346
0,1535466058,2018,8,28,14,20,58,531,52,13,8,7,5,9,1,1,1,1,1,0,0,0,0,15.44,3.89,47.50,25.00,25.00,-127.00,-127.00,409,197.37,348
0,1535466074,2018,8,28,14,21,14,512,63,25,18,8,17,12,2,4,1,4,3,1,1,0,0,15.44,3.89,47.50,25.00,25.00,-127.00,-127.00,403,197.37,344
0,1535466088,2018,8,28,14,21,28,456,53,15,7,3,10,2,4,3,0,2,2,3,1,0,0,13.94,3.89,47.50,25.00,25.00,-127.00,-127.00,401,193.98,341
0,1535466102,2018,8,28,14,21,42,418,49,17,3,1,1,6,2,0,0,0,0,1,0,0,0,13.94,3.89,47.40,25.00,25.00,-127.00,-127.00,404,193.98,345
0,1535466116,2018,8,28,14,21,56,466,37,15,10,5,12,2,7,1,1,2,2,0,1,0,0,13.94,3.89,47.40,25.00,25.00,-127.00,-127.00,395,195.39,339
0,1535466130,2018,8,28,14,22,10,423,58,12,5,4,5,2,2,2,1,1,2,0,0,2,0,13.94,3.89,47.50,25.00,25.00,-127.00,-127.00,402,198.80,342
0,1535466144,2018,8,28,14,22,24,442,38,11,2,3,4,3,0,2,0,0,1,0,1,0,0,13.94,3.98,47.50,25.00,25.00,-127.00,-127.00,401,198.80,341
0,1535466158,2018,8,28,14,22,38,430,53,10,3,1,2,3,0,3,1,1,1,0,0,0,0,13.94,3.94,47.80,25.00,25.00,-127.00,-127.00,399,197.37,342
0,1535466172,2018,8,28,14,22,52,446,42,18,5,5,2,3,3,2,2,0,2,1,3,3,0,13.94,3.76,48.10,25.00,25.00,-127.00,-127.00,419,193.98,353
0,1535466185,2018,8,28,14,23,5,488,51,15,3,1,6,10,3,2,1,2,0,2,7,4,1,13.94,3.82,48.60,25.00,25.00,-127.00,-127.00,403,193.98,342
0,1535466199,2018,8,28,14,23,19,447,38,13,7,0,5,3,1,3,2,0,3,1,2,2,0,13.94,3.77,48.70,25.00,25.00,-127.00,-127.00,414,195.39,350
0,1535466213,2018,8,28,14,23,33,448,40,10,4,4,3,5,3,1,1,1,2,2,6,2,0,13.94,3.82,48.20,25.00,25.00,-127.00,-127.00,402,195.39,343
0,1535466227,2018,8,28,14,23,47,398,40,19,3,2,2,4,1,0,0,2,3,11,3,0,1,13.94,3.70,48.20,25.00,25.25,-127.00,-127.00,400,190.60,340
0,1535466241,2018,8,28,14,24,1,466,42,12,7,9,6,6,3,2,0,0,4,4,4,0,0,13.94,3.78,47.90,25.00,25.00,-127.00,-127.00,393,190.60,338
0,1535466257,2018,8,28,14,24,17,478,44,14,7,3,4,2,0,0,0,0,2,1,3,0,0,15.44,3.74,47.50,25.00,25.25,-127.00,-127.00,391,192.00,335
0,1535466271,2018,8,28,14,24,31,479,42,14,3,2,1,0,1,2,1,1,0,0,0,0,0,13.94,3.80,48.00,25.00,25.00,-127.00,-127.00,390,192.00,335
0,1535466285,2018,8,28,14,24,45,424,43,4,9,2,2,2,2,0,0,1,0,0,0,0,0,13.94,3.84,47.70,25.00,25.00,-127.00,-127.00,388,192.00,334
0,1535466299,2018,8,28,14,24,59,437,43,19,5,0,3,3,2,1,0,0,0,0,1,0,0,13.94,3.86,47.50,25.00,25.25,-127.00,-127.00,388,192.00,332
0,1535466313,2018,8,28,14,25,13,417,55,17,1,1,1,2,1,3,2,2,0,0,0,0,1,13.94,3.88,47.40,25.10,25.25,-127.00,-127.00,393,192.00,335
0,1535466328,2018,8,28,14,25,28,508,43,12,5,1,3,7,3,1,1,2,1,0,0,0,0,15.44,3.89,47.40,25.10,25.25,-127.00,-127.00,391,192.00,335
0,1535466343,2018,8,28,14,25,43,514,41,8,1,5,1,4,2,0,1,1,0,0,0,0,0,15.44,3.97,47.30,25.10,25.25,-127.00,-127.00,386,192.00,332
0,1535466357,2018,8,28,14,25,57,418,28,11,5,1,0,1,2,0,0,1,0,0,0,1,0,13.94,3.95,47.30,25.10,25.25,-127.00,-127.00,390,192.00,335
0,1535466371,2018,8,28,14,26,11,441,38,12,2,3,2,1,2,3,3,1,0,0,1,0,0,13.94,3.85,47.40,25.10,25.25,-127.00,-127.00,391,192.00,336
0,1535466387,2018,8,28,14,26,27,505,42,17,3,2,2,4,1,1,0,0,0,1,1,0,0,15.44,3.87,47.50,25.10,25.25,-127.00,-127.00,391,192.00,334
0,1535466401,2018,8,28,14,26,41,436,37,9,2,2,3,0,1,2,0,0,0,0,0,0,0,13.94,3.88,47.30,25.10,25.25,-127.00,-127.00,388,184.66,334
0,1535466415,2018,8,28,14,26,55,461,37,8,4,3,2,3,3,2,1,0,0,1,0,0,0,13.94,3.96,47.10,25.10,25.25,-127.00,-127.00,386,192.00,332
0,1535466429,2018,8,28,14,27,9,453,40,21,7,6,1,2,0,1,0,0,0,0,0,0,0,13.94,3.85,47.30,25.10,25.25,-127.00,-127.00,388,192.00,332
0,1535466443,2018,8,28,14,27,23,427,35,13,3,0,1,2,2,0,1,1,0,1,0,0,0,13.94,3.87,47.50,25.10,25.25,-127.00,-127.00,385,192.00,332
