Station;Timestamp;Year;Month;Day;Hour;Min;Sec;0.46um;0.66um;0.89um;1.15um;1.45um;1.85um;2.55um;3.5um;4.5um;5.75um;7.25um;9um;11um;13um;15um;16.5um;DurationSample_s;FlowRate_ml/s;HumiditeDHT22;TempDHT22_AirEntreeOPC;TempAir_sol;TempSolProf10cm;TempBoitier;SoilMoisture;Lux;LeafMoisture
1;1536624005;0;0;0;0;0;0;236;59;21;4;5;2;2;0;0;0;0;0;0;0;0;0;11.73;3.71;98.1;15.6;14.75;22.5;16.75;882;nan;163
1;1536624017;0;0;0;0;0;0;235;54;20;10;0;3;2;1;0;0;0;0;0;0;0;0;11.73;3.7;98.1;15.6;14.75;22.5;16.75;881;nan;162
1;1536624028;0;0;0;0;0;0;246;52;22;9;0;3;1;0;0;0;0;0;0;0;0;0;11.73;3.63;98.2;15.6;14.75;22.5;16.75;881;nan;164
1;1536624040;0;0;0;0;0;0;233;37;22;10;2;2;3;1;1;1;0;0;0;0;0;0;11.73;3.59;98.2;15.6;14.75;22.5;16.75;882;nan;163
1;1536624052;0;0;0;0;0;0;249;52;15;9;2;3;1;1;0;0;0;0;0;0;0;0;11.73;3.71;98.3;15.6;14.75;22.5;16.75;882;nan;163
1;1536624063;0;0;0;0;0;0;230;49;22;8;2;3;1;1;0;0;0;0;0;0;0;0;11.73;3.71;98.4;15.6;14.75;22.5;16.75;881;nan;163
1;1536624075;0;0;0;0;0;0;250;42;28;7;3;0;1;1;0;0;0;0;0;0;0;0;11.73;3.7;98.4;15.6;14.75;22.5;16.75;881;nan;163
1;1536624087;0;0;0;0;0;0;208;43;16;5;3;1;0;2;2;0;0;0;0;0;0;0;11.73;3.7;98.4;15.6;14.75;22.5;16.75;881;nan;163
1;1536624099;0;0;0;0;0;0;214;44;17;3;2;8;2;0;0;0;0;0;0;0;0;0;11.73;3.7;98.3;15.5;14.75;22.5;16.75;882;nan;162
1;1536624110;0;0;0;0;0;0;235;51;14;8;2;1;2;0;2;0;0;0;0;0;0;0;11.73;3.7;98.4;15.5;14.75;22.5;16.75;881;nan;163
1;1536624122;0;0;0;0;0;0;239;51;18;8;1;1;6;0;1;1;0;0;0;0;0;0;11.73;3.77;98.4;15.5;14.5;22.5;16.75;882;nan;163
1;1536624134;0;0;0;0;0;0;234;43;14;8;5;3;3;0;1;0;0;0;0;0;0;0;11.72;3.74;98.5;15.5;14.5;22.5;16.75;882;nan;163
1;1536624146;0;0;0;0;0;0;224;55;14;12;4;1;4;1;0;0;0;0;0;0;0;0;11.73;3.72;98.5;15.6;14.75;22.5;16.75;881;nan;163
1;1536624157;0;0;0;0;0;0;238;47;13;13;2;2;3;2;0;0;0;0;0;0;0;0;11.73;3.71;98.5;15.5;14.5;22.5;16.75;881;nan;164
1;1536624169;0;0;0;0;0;0;225;43;22;9;1;2;4;1;0;0;0;0;0;0;0;0;11.73;3.7;98.5;15.5;14.5;22.5;16.75;882;nan;163
1;1536624181;0;0;0;0;0;0;248;63;19;3;7;3;2;0;0;0;0;0;0;0;0;0;11.73;3.78;98.5;15.5;14.5;22.5;16.75;881;nan;164
