 

stn;time;xchills0;rco150z0;uor200s0;sre000z0;fu3010z0
GVE;201806050000;16.3;0;99.3;0;2.2
GVE;201806050010;16.4;0;99.1;0;1.4
GVE;201806050020;16.6;0;98.5;0;1.8
GVE;201806050030;16.3;0;99.5;0;2.9
GVE;201806050040;16.5;0;98.6;0;2.9
GVE;201806050050;16.2;0;98.2;0;3.6
GVE;201806050100;15.9;0;97.4;0;4.0
GVE;201806050110;15.8;0;97.5;0;4.0
GVE;201806050120;15.8;0;97.0;0;3.6
GVE;201806050130;15.8;0;97.7;0;2.9
GVE;201806050140;15.7;0;98.6;0;2.9
GVE;201806050150;15.7;0;98.4;0;1.1
GVE;201806050200;15.6;0;97.6;0;3.6
GVE;201806050210;15.7;0;98.3;0;2.9
GVE;201806050220;15.9;0;97.4;0;4.0
GVE;201806050230;15.9;0;98.2;0;1.8
GVE;201806050240;16.0;0;98.7;0;1.1
GVE;201806050250;16.1;0;98.5;0;1.4
GVE;201806050300;16.1;0;97.5;0;2.9
GVE;201806050310;15.9;0;98.6;0;2.5
GVE;201806050320;16.2;0;96.6;0;3.2
GVE;201806050330;16.0;0;98.8;0;2.2
GVE;201806050340;16.0;0;98.4;0;4.0
GVE;201806050350;16.2;0;98.2;0;2.9
GVE;201806050400;16.4;0;96.3;0;2.5
GVE;201806050410;16.8;0;92.6;0;3.2
GVE;201806050420;16.5;0;94.8;0;0.7
GVE;201806050430;16.4;0;96.1;0;0.4
GVE;201806050440;16.7;0;96.1;0;1.4
GVE;201806050450;16.5;0;98.4;0;4.3
GVE;201806050500;16.5;0;97.2;0;5.0
GVE;201806050510;16.6;0;96.9;0;6.1
GVE;201806050520;16.6;0;96.5;0;6.1
GVE;201806050530;16.7;0;96.0;0;4.3
GVE;201806050540;16.8;0;95.6;0;4.3
GVE;201806050550;16.7;0;94.4;0;2.5
GVE;201806050600;16.8;0;91.7;0;4.7
GVE;201806050610;16.8;0;90.1;0;4.0
GVE;201806050620;16.7;0;91.2;0;2.9
GVE;201806050630;16.7;0;89.4;0;4.7
GVE;201806050640;16.8;0;91.8;0;4.3
GVE;201806050650;17.1;0;87.9;0;3.2
GVE;201806050700;17.1;0;89.0;0;4.7
GVE;201806050710;17.4;0;89.4;0;4.3
GVE;201806050720;17.5;0;88.2;0;2.5
GVE;201806050730;17.6;0;87.1;0;1.1
GVE;201806050740;17.8;0;87.3;0;2.2
GVE;201806050750;18.1;0;85.9;0;2.2
GVE;201806050800;18.5;0;84.6;0;3.6
GVE;201806050810;18.5;0;85.2;0;4.3
GVE;201806050820;18.8;0;81.9;0;4.0
GVE;201806050830;19.0;0;79.6;4;2.5
GVE;201806050840;19.3;0;80.7;6;2.5
GVE;201806050850;19.8;0;74.0;9;2.5
GVE;201806050900;19.6;0;78.7;3;5.8
GVE;201806050910;19.6;0;76.3;4;4.0
GVE;201806050920;20.2;0;71.5;9;6.1
GVE;201806050930;19.7;0;73.1;2;4.0
GVE;201806050940;20.7;0;72.1;10;3.6
GVE;201806050950;20.9;0;69.6;10;5.4
GVE;201806051000;21.0;0;71.9;7;4.3
GVE;201806051010;20.6;0;72.7;1;4.3
GVE;201806051020;21.6;0;71.2;8;4.7
GVE;201806051030;21.0;0;68.4;10;4.3
GVE;201806051040;21.2;0;72.5;10;4.0
GVE;201806051050;22.0;0;70.3;10;4.7
GVE;201806051100;22.5;0;71.4;10;9.7
GVE;201806051110;22.3;0;69.4;10;7.9
GVE;201806051120;22.1;0;67.9;10;6.8
GVE;201806051130;22.2;0;66.8;10;7.6
GVE;201806051140;22.5;0;67.5;10;6.5
GVE;201806051150;22.5;0;68.2;10;8.3
GVE;201806051200;23.1;0;62.2;10;7.9
GVE;201806051210;23.1;0;60.8;10;9.7
GVE;201806051220;23.2;0;58.5;10;8.3
GVE;201806051230;23.5;0;63.6;10;8.3
GVE;201806051240;24.2;0;58.6;10;10.8
GVE;201806051250;24.0;0;59.4;10;9.7
GVE;201806051300;23.9;0;52.6;10;9.7
GVE;201806051310;23.7;0;53.8;10;7.9
GVE;201806051320;24.0;0;52.8;10;8.3
GVE;201806051330;23.8;0;52.1;10;10.1
GVE;201806051340;24.3;0;51.8;10;10.8
GVE;201806051350;24.4;0;51.7;10;11.2
GVE;201806051400;25.1;0;49.8;10;13.7
GVE;201806051410;24.9;0;49.5;10;12.6
GVE;201806051420;24.7;0;45.0;10;12.6
GVE;201806051430;25.0;0;50.3;10;11.9
GVE;201806051440;24.7;0;49.8;10;9.7
GVE;201806051450;24.7;0;49.4;9;10.4
GVE;201806051500;24.7;0;48.5;10;11.2
GVE;201806051510;24.4;0;47.7;10;5.8
GVE;201806051520;24.7;0;48.8;10;6.1
GVE;201806051530;25.0;0;46.6;10;6.5
GVE;201806051540;25.2;0;47.8;8;10.4
GVE;201806051550;24.6;0;47.0;3;11.5
GVE;201806051600;24.6;0;43.6;9;9.4
GVE;201806051610;23.3;0;53.8;3;5.4
GVE;201806051620;23.4;0;52.1;0;2.9
GVE;201806051630;23.3;0;55.2;0;1.4
GVE;201806051640;23.7;0;53.1;0;2.5
GVE;201806051650;24.5;0;46.9;0;5.4
GVE;201806051700;24.2;0;46.9;0;4.3
GVE;201806051710;24.1;0;50.1;4;4.0
GVE;201806051720;23.9;0;55.4;0;9.7
GVE;201806051730;23.6;0;55.9;0;11.9
GVE;201806051740;23.2;0;62.5;0;14.0
GVE;201806051750;23.2;0;63.4;0;19.1
GVE;201806051800;23.1;0;64.8;0;19.4
GVE;201806051810;22.6;0;67.9;0;19.8
GVE;201806051820;22.0;0;68.3;0;23.8
GVE;201806051830;21.9;0;70.7;0;18.7
GVE;201806051840;21.7;0;67.9;0;19.1
GVE;201806051850;21.1;0;66.5;0;21.2
GVE;201806051900;20.9;7;69.0;0;18.4
GVE;201806051910;20.4;9;71.9;0;10.8
GVE;201806051920;19.6;10;80.1;0;5.0
GVE;201806051930;18.5;6;89.1;0;2.5
GVE;201806051940;18.6;5;88.9;0;3.2
GVE;201806051950;19.3;10;88.7;0;6.8
GVE;201806052000;18.8;10;89.9;0;7.9
GVE;201806052010;18.7;10;90.1;0;5.8
GVE;201806052020;18.6;10;91.4;0;4.7
GVE;201806052030;18.3;5;94.7;0;5.0
GVE;201806052040;18.9;0;91.1;0;7.6
GVE;201806052050;18.5;0;94.1;0;9.0
GVE;201806052100;18.5;0;93.4;0;10.4
GVE;201806052110;18.6;0;90.6;0;12.2
GVE;201806052120;18.5;0;91.1;0;10.8
GVE;201806052130;18.1;1;90.9;0;10.8
GVE;201806052140;18.2;2;92.4;0;11.5
GVE;201806052150;18.2;9;92.0;0;10.1
GVE;201806052200;18.6;0;91.6;0;11.2
GVE;201806052210;18.1;0;93.7;0;7.9
GVE;201806052220;18.2;0;92.1;0;8.6
GVE;201806052230;17.9;0;91.9;0;10.1
GVE;201806052240;17.6;0;94.0;0;6.1
GVE;201806052250;17.9;0;90.2;0;11.2
GVE;201806052300;18.1;0;87.5;0;13.3
GVE;201806052310;17.6;0;90.9;0;10.4
GVE;201806052320;17.5;0;92.8;0;7.6
GVE;201806052330;17.1;0;95.9;0;7.2
GVE;201806052340;17.1;0;96.9;0;4.0
GVE;201806052350;16.6;0;98.9;0;3.2
GVE;201806060000;16.6;0;98.9;0;2.9
GVE;201806060010;17.1;0;97.2;0;2.5
GVE;201806060020;17.0;0;97.5;0;3.6
GVE;201806060030;16.8;0;98.2;0;4.7
GVE;201806060040;16.9;0;97.4;0;3.6
GVE;201806060050;16.8;0;97.7;0;2.5
GVE;201806060100;16.6;0;99.1;0;2.2
GVE;201806060110;16.7;0;98.4;0;1.8
GVE;201806060120;16.4;0;98.8;0;3.6
GVE;201806060130;16.5;0;98.3;0;3.6
GVE;201806060140;16.5;0;98.6;0;2.5
GVE;201806060150;16.5;0;98.6;0;2.9
GVE;201806060200;16.4;0;99.0;0;2.5
GVE;201806060210;16.4;0;97.3;0;3.6
GVE;201806060220;16.4;0;97.7;0;4.0
GVE;201806060230;16.6;0;97.8;0;3.6
GVE;201806060240;16.4;0;96.9;0;5.0
GVE;201806060250;16.4;0;96.7;0;4.7
GVE;201806060300;16.3;0;96.3;0;4.7
GVE;201806060310;16.3;0;96.1;0;5.0
GVE;201806060320;16.2;0;95.7;0;4.3
GVE;201806060330;15.6;0;98.5;0;3.6
GVE;201806060340;15.7;0;98.0;0;1.8
GVE;201806060350;15.5;0;98.9;0;2.9
GVE;201806060400;15.4;0;98.7;0;3.6
GVE;201806060410;15.3;0;96.7;0;1.1
GVE;201806060420;15.2;0;97.5;0;1.8
GVE;201806060430;14.9;0;97.6;0;2.5
GVE;201806060440;15.2;0;95.8;2;1.8
GVE;201806060450;15.8;0;92.8;10;2.9
GVE;201806060500;15.7;0;93.4;3;2.9
GVE;201806060510;15.8;0;92.9;0;4.3
GVE;201806060520;15.8;0;95.2;0;2.9
GVE;201806060530;15.6;0;96.0;0;5.0
GVE;201806060540;16.2;0;92.9;0;4.3
GVE;201806060550;16.2;0;92.7;0;2.5
GVE;201806060600;16.2;0;91.5;0;1.8
GVE;201806060610;16.5;0;90.5;0;2.5
GVE;201806060620;16.8;0;87.6;2;3.6
GVE;201806060630;17.3;0;85.7;0;2.2
GVE;201806060640;17.4;0;86.1;0;4.0
GVE;201806060650;17.7;0;83.7;0;3.6
GVE;201806060700;17.9;0;85.0;0;4.3
GVE;201806060710;18.6;0;82.4;0;3.6
GVE;201806060720;18.8;0;81.8;0;4.3
GVE;201806060730;18.4;0;84.3;0;3.2
GVE;201806060740;18.6;0;82.7;0;3.2
GVE;201806060750;18.8;0;82.0;0;4.0
GVE;201806060800;18.8;0;84.4;0;3.6
GVE;201806060810;19.2;0;80.5;0;5.0
GVE;201806060820;19.3;0;80.4;0;5.0
GVE;201806060830;19.2;0;81.7;0;6.1
GVE;201806060840;20.7;0;76.9;0;5.8
GVE;201806060850;19.4;0;78.0;0;5.0
GVE;201806060900;20.4;0;77.2;0;5.0
GVE;201806060910;20.0;0;76.0;0;5.4
GVE;201806060920;19.8;0;74.7;0;6.5
GVE;201806060930;20.2;0;74.9;0;5.4
GVE;201806060940;20.3;0;73.7;0;4.0
GVE;201806060950;20.2;0;72.7;0;5.4
GVE;201806061000;20.8;0;73.3;0;6.1
GVE;201806061010;20.6;0;73.5;1;5.8
GVE;201806061020;21.1;0;72.1;0;3.6
GVE;201806061030;20.8;0;70.5;0;4.7
GVE;201806061040;21.8;0;71.0;0;4.0
GVE;201806061050;22.0;0;63.9;0;5.8
GVE;201806061100;21.9;0;60.0;0;3.6
GVE;201806061110;21.7;0;66.6;0;5.0
GVE;201806061120;22.8;0;54.8;0;6.1
GVE;201806061130;21.8;0;51.2;0;4.7
GVE;201806061140;21.7;0;56.7;0;6.1
GVE;201806061150;22.0;0;62.2;0;6.1
GVE;201806061200;22.0;0;61.7;0;4.0
GVE;201806061210;22.6;0;60.5;0;3.6
GVE;201806061220;23.2;0;57.2;0;10.4
GVE;201806061230;22.4;0;58.7;1;11.2
GVE;201806061240;22.8;0;59.3;7;14.0
GVE;201806061250;23.6;0;59.9;7;10.8
GVE;201806061300;23.0;0;55.9;7;8.6
GVE;201806061310;23.5;0;57.4;1;9.7
GVE;201806061320;24.3;0;52.9;0;7.9
GVE;201806061330;23.4;0;51.0;0;8.6
GVE;201806061340;22.9;0;56.1;0;9.0
GVE;201806061350;22.9;0;57.7;0;11.9
GVE;201806061400;22.6;0;59.6;0;11.2
GVE;201806061410;22.4;0;61.0;0;11.5
GVE;201806061420;22.2;0;60.7;0;16.2
GVE;201806061430;22.1;6;60.3;0;16.6
GVE;201806061440;21.9;0;60.0;0;22.3
GVE;201806061450;21.9;2;60.3;0;24.5
GVE;201806061500;21.8;0;60.8;0;21.2
GVE;201806061510;21.8;0;61.1;0;18.7
GVE;201806061520;22.1;0;62.0;0;18.7
GVE;201806061530;22.8;0;57.7;3;19.4
GVE;201806061540;21.6;0;62.2;0;19.8
GVE;201806061550;21.1;0;63.4;0;16.2
GVE;201806061600;21.4;0;61.7;0;14.0
GVE;201806061610;21.3;0;61.8;0;12.6
GVE;201806061620;21.7;0;62.0;0;9.7
GVE;201806061630;21.1;0;66.4;0;6.5
GVE;201806061640;21.3;0;62.1;0;6.8
GVE;201806061650;20.9;0;63.5;0;10.1
GVE;201806061700;20.5;0;67.9;0;8.6
GVE;201806061710;20.7;0;66.0;0;8.3
GVE;201806061720;20.7;0;66.1;0;11.5
GVE;201806061730;21.0;0;62.4;0;10.8
GVE;201806061740;21.0;0;62.4;0;8.3
GVE;201806061750;21.1;0;61.2;0;7.6
GVE;201806061800;20.7;0;64.1;0;9.7
GVE;201806061810;20.7;0;65.8;0;12.6
GVE;201806061820;20.3;0;68.9;0;7.9
GVE;201806061830;19.9;0;71.8;0;6.8
GVE;201806061840;19.6;0;73.5;0;9.0
GVE;201806061850;20.1;0;69.7;0;10.8
GVE;201806061900;19.9;0;70.9;0;13.0
GVE;201806061910;19.7;1;70.7;0;12.6
GVE;201806061920;19.5;0;71.6;0;9.0
GVE;201806061930;19.1;0;75.1;0;6.5
GVE;201806061940;19.0;0;76.8;0;5.0
GVE;201806061950;18.9;0;77.8;0;4.0
GVE;201806062000;18.8;0;78.2;0;5.8
GVE;201806062010;18.5;0;78.0;0;8.3
GVE;201806062020;18.3;0;78.4;0;7.2
GVE;201806062030;18.1;1;78.5;0;7.9
GVE;201806062040;18.0;9;79.8;0;7.6
GVE;201806062050;17.7;5;84.0;0;5.8
GVE;201806062100;17.4;1;86.7;0;7.9
GVE;201806062110;17.2;6;87.8;0;11.9
GVE;201806062120;17.0;8;89.6;0;10.1
GVE;201806062130;17.0;5;89.3;0;8.3
GVE;201806062140;16.8;10;89.7;0;5.8
GVE;201806062150;16.9;10;90.1;0;2.5
GVE;201806062200;16.9;10;89.9;0;2.9
GVE;201806062210;16.3;3;95.7;0;4.0
GVE;201806062220;16.4;0;95.5;0;2.5
GVE;201806062230;16.1;0;96.0;0;2.2
GVE;201806062240;16.2;0;97.0;0;1.8
GVE;201806062250;16.1;0;97.6;0;2.5
GVE;201806062300;16.3;0;96.8;0;3.2
GVE;201806062310;16.3;0;96.1;0;3.2
GVE;201806062320;16.1;0;97.7;0;2.9
GVE;201806062330;16.4;0;95.3;0;2.5
GVE;201806062340;16.3;0;95.8;0;3.6
GVE;201806062350;16.4;0;96.8;0;2.2
GVE;201806070000;16.5;0;95.5;0;2.9
