

stn;time;rre150h0
GELCX;2018061100;0.0
GELCX;2018061101;0.0
GELCX;2018061102;0.0
GELCX;2018061103;0.0
GELCX;2018061104;0.0
GELCX;2018061105;0.0
GELCX;2018061106;0.0
GELCX;2018061107;0.0
GELCX;2018061108;0.0
GELCX;2018061109;0.6
GELCX;2018061110;2.7
GELCX;2018061111;0.1
GELCX;2018061112;0.0
GELCX;2018061113;0.0
GELCX;2018061114;0.0
GELCX;2018061115;0.0
GELCX;2018061116;0.0
GELCX;2018061117;0.0
GELCX;2018061118;0.0
GELCX;2018061119;0.0
GELCX;2018061120;2.7
GELCX;2018061121;1.0
GELCX;2018061122;0.0
GELCX;2018061123;0.0
GELCX;2018061200;0.0
GELCX;2018061201;0.0
GELCX;2018061202;0.0
GELCX;2018061203;0.0
GELCX;2018061204;0.0
GELCX;2018061205;0.0
GELCX;2018061206;0.0
GELCX;2018061207;0.0
GELCX;2018061208;0.0
GELCX;2018061209;0.0
GELCX;2018061210;0.0
GELCX;2018061211;0.0
GELCX;2018061212;0.0
GELCX;2018061213;0.2
GELCX;2018061214;0.0
GELCX;2018061215;0.0
GELCX;2018061216;0.0
GELCX;2018061217;0.0
GELCX;2018061218;0.0
GELCX;2018061219;0.1
GELCX;2018061220;0.3
GELCX;2018061221;5.1
GELCX;2018061222;1.3
GELCX;2018061223;0.9
GELCX;2018061300;0.7
GELCX;2018061301;0.5
GELCX;2018061302;0.5
GELCX;2018061303;0.4
GELCX;2018061304;0.3
GELCX;2018061305;0.3
GELCX;2018061306;0.1
GELCX;2018061307;0.1
GELCX;2018061308;0.0
GELCX;2018061309;0.1
GELCX;2018061310;0.4
GELCX;2018061311;0.3
GELCX;2018061312;0.0
GELCX;2018061313;0.0
GELCX;2018061314;0.0
GELCX;2018061315;0.0
GELCX;2018061316;0.0
GELCX;2018061317;0.0
GELCX;2018061318;0.0
GELCX;2018061319;0.0
GELCX;2018061320;0.0
GELCX;2018061321;0.0
GELCX;2018061322;0.0
GELCX;2018061323;0.0
GELCX;2018061400;0.0
GELCX;2018061401;0.0
GELCX;2018061402;0.0
GELCX;2018061403;0.0
GELCX;2018061404;0.0
GELCX;2018061405;0.0
GELCX;2018061406;0.0
GELCX;2018061407;0.0
GELCX;2018061408;0.0
GELCX;2018061409;0.0
GELCX;2018061410;0.0
GELCX;2018061411;0.0
GELCX;2018061412;0.0
GELCX;2018061413;0.0
GELCX;2018061414;0.0
GELCX;2018061415;0.0
GELCX;2018061416;0.0
GELCX;2018061417;0.0
GELCX;2018061418;0.0
GELCX;2018061419;0.0
GELCX;2018061420;0.0
GELCX;2018061421;0.0
GELCX;2018061422;0.0
GELCX;2018061423;0.0
GELCX;2018061500;0.0
GELCX;2018061501;0.0
GELCX;2018061502;0.0
GELCX;2018061503;0.0
GELCX;2018061504;0.0
GELCX;2018061505;0.0
GELCX;2018061506;0.0
GELCX;2018061507;0.0
GELCX;2018061508;0.0
GELCX;2018061509;0.0
GELCX;2018061510;0.0
GELCX;2018061511;0.0
GELCX;2018061512;0.0
GELCX;2018061513;0.0
GELCX;2018061514;0.0
GELCX;2018061515;0.0
GELCX;2018061516;0.0
GELCX;2018061517;0.0
GELCX;2018061518;0.0
GELCX;2018061519;0.0
GELCX;2018061520;0.0
GELCX;2018061521;0.0
GELCX;2018061522;0.0
GELCX;2018061523;0.0
GELCX;2018061600;0.0
GELCX;2018061601;0.0
GELCX;2018061602;0.0
GELCX;2018061603;0.0
GELCX;2018061604;0.0
GELCX;2018061605;0.0
GELCX;2018061606;0.0
GELCX;2018061607;0.0
GELCX;2018061608;0.0
GELCX;2018061609;0.0
GELCX;2018061610;0.0
GELCX;2018061611;0.0
GELCX;2018061612;0.0
GELCX;2018061613;0.0
GELCX;2018061614;0.0
GELCX;2018061615;0.0
GELCX;2018061616;0.0
GELCX;2018061617;0.0
GELCX;2018061618;0.0
GELCX;2018061619;0.0
GELCX;2018061620;0.0
GELCX;2018061621;0.0
GELCX;2018061622;0.0
GELCX;2018061623;0.0
GELCX;2018061700;0.0
GELCX;2018061701;0.0
GELCX;2018061702;0.0
GELCX;2018061703;0.0
GELCX;2018061704;0.0
GELCX;2018061705;0.0
GELCX;2018061706;0.0
GELCX;2018061707;0.0
GELCX;2018061708;0.0
GELCX;2018061709;0.0
GELCX;2018061710;0.0
GELCX;2018061711;0.0
GELCX;2018061712;0.0
GELCX;2018061713;0.0
GELCX;2018061714;0.0
GELCX;2018061715;0.0
GELCX;2018061716;0.0
GELCX;2018061717;0.0
GELCX;2018061718;0.0
GELCX;2018061719;0.0
GELCX;2018061720;0.0
GELCX;2018061721;0.0
GELCX;2018061722;0.0
GELCX;2018061723;0.0

